top - 15:27:06 up 49 min,  1 user,  load average: 0.74, 0.64, 0.37
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 95.2 id,  4.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    225.4 free,   2491.1 used,   1146.9 buff/cache     
MiB Swap:   3771.0 total,   3680.9 free,     90.1 used.   1376.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2529 sysadmin  20   0  319092   7356   6716 S   0.0   0.2   0:00.01 ibus-po+
   2545 sysadmin  20   0  318440   5936   5808 S   0.0   0.1   0:00.00 gvfs-go+
   2579 sysadmin  20   0  245436   7540   6772 S   0.0   0.2   0:01.43 ibus-en+
   2606 sysadmin  20   0  245008   6180   5924 S   0.0   0.2   0:00.01 gvfsd-m+
   2607 sysadmin  20   0  618108   8912   7632 S   0.0   0.2   0:00.02 gvfsd-t+
   2649 sysadmin  39  19  744072  25028  16448 S   0.0   0.6   0:00.33 tracker+
   2650 sysadmin  20   0   39136   3180   1772 S   0.0   0.1   0:00.09 snapd-d+
   2651 sysadmin  20   0  841340  13388  10840 S   0.0   0.3   0:00.13 xdg-des+
   2662 sysadmin  20   0  786732  30856  21016 S   0.0   0.8   0:00.19 xdg-des+
   2665 sysadmin  20   0 2736784  19084  14276 S   0.0   0.5   0:00.06 gjs
   2741 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2771 sysadmin  20   0 3154392  49296  36880 S   0.0   1.2   0:00.66 gjs
   2819 root      20   0  322032   7664   7024 S   0.0   0.2   0:00.02 ubuntu-+
   2884 sysadmin  20   0  500456  23668  16288 S   0.0   0.6   0:00.14 xdg-des+
   2916 sysadmin  20   0  429584  13348   4624 S   0.0   0.3   0:00.11 snapd-d+
   2962 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2996 sysadmin  20   0   40572  17752  10328 S   0.0   0.4   0:00.03 gnome-t+
   2998 sysadmin  20   0  467092  26180  19012 S   0.0   0.7   0:00.05 gnome-t+
   3004 sysadmin  20   0  567436  50876  36152 S   0.0   1.3   0:10.74 gnome-t+
   3011 sysadmin  20   0   19692   4176   3536 S   0.0   0.1   0:00.16 bash
   3058 sysadmin  20   0  503116  27888  21488 S   0.0   0.7   0:00.18 update-+
   3218 sysadmin  20   0   11.7g 760620 253612 S   0.0  19.2   2:34.21 firefox
   3370 sysadmin  20   0   21284   2316   1932 S   0.0   0.1   0:00.00 crashhe+
   3453 sysadmin  20   0  228604  44248  34648 S   0.0   1.1   0:00.63 Socket +
   3477 sysadmin  20   0  295816  26128  17424 S   0.0   0.7   0:00.07 forkser+
   3500 sysadmin  20   0 2452656  85344  61260 S   0.0   2.2   0:00.69 WebExte+
   3509 sysadmin  20   0  451952  49684  36856 S   0.0   1.3   0:00.22 RDD Pro+
   3537 sysadmin  20   0 2499392 129840  83176 S   0.0   3.3   0:03.32 Privile+
   3565 sysadmin  20   0 1765384   8588    920 S   0.0   0.2   0:00.10 snap
   3899 sysadmin  20   0  443236  44072  32268 S   0.0   1.1   0:00.06 Utility+
   3906 sysadmin  20   0 2449216  97088  74220 S   0.0   2.5   0:01.17 Isolate+
   4351 root       0 -20       0      0      0 I   0.0   0.0   0:00.20 kworker+
   4606 root      20   0  476260  27936  21856 S   0.0   0.7   0:00.37 fwupd
